EquipmentOrderId,Date,ProductName,UnitOfMeasure,Quantity,CostPerItem,Costs,Currency,EmployeeId
EO106946,1996-01-06,Paper clips (package),ST,3,4.3,12.89,EUR,E107550
EO106965,1996-01-11,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107550
EO106965,1996-01-13,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107601
EO106981,1996-01-14,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107559
EO107001,1996-01-15,Pencil,ST,5,0.2,1.0,EUR,E107575
EO107015,1996-01-17,Pen,ST,1,0.5,0.5,EUR,E107559
EO107032,1996-01-18,Pencil,ST,4,0.2,0.8,EUR,E107559
EO107044,1996-01-18,Pen,ST,1,0.5,0.5,EUR,E107592
EO107054,1996-01-19,Notepad,ST,3,0.9,2.7,EUR,E107590
EO107054,1996-01-20,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107575
EO107071,1996-01-23,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107559
EO107090,1996-01-26,Pen,ST,1,0.5,0.5,EUR,E107543
EO107091,1996-01-31,Printer paper,ST,1,1.9,1.9,EUR,E107559
EO107102,1996-02-01,Notepad,ST,2,0.9,1.8,EUR,E107609
EO107118,1996-02-07,Notepad,ST,2,0.9,1.8,EUR,E107567
EO107137,1996-02-08,Pencil,ST,4,0.2,0.8,EUR,E107583
EO107138,1996-02-09,Paper clips (package),ST,3,4.3,12.89,EUR,E107575
EO107151,1996-02-09,Pencil,ST,5,0.2,1.0,EUR,E107609
EO107155,1996-02-11,Paper clips (package),ST,4,4.3,17.2,EUR,E107579
EO107174,1996-02-12,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107596
EO107180,1996-02-14,Printer paper,ST,1,1.9,1.9,EUR,E107567
EO107190,1996-02-17,Pen,ST,1,0.5,0.5,EUR,E107590
EO107202,1996-02-20,Notepad,ST,3,0.9,2.7,EUR,E107601
EO107209,1996-02-22,Pencil,ST,3,0.2,0.6,EUR,E107543
EO107215,1996-02-23,Notepad,ST,3,0.9,2.7,EUR,E107575
EO107224,1996-02-24,Printer paper,ST,1,1.9,1.9,EUR,E107583
EO107240,1996-03-02,Pencil,ST,4,0.2,0.8,EUR,E107590
EO107256,1996-03-05,Paper clips (package),ST,3,4.3,12.89,EUR,E107550
EO107264,1996-03-06,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107598
EO107283,1996-03-09,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107559
EO107296,1996-03-11,Notepad,ST,2,0.9,1.8,EUR,E107559
EO107316,1996-03-13,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107596
EO107323,1996-03-20,Notepad,ST,3,0.9,2.7,EUR,E107583
EO107330,1996-03-20,Notepad,ST,3,0.9,2.7,EUR,E107601
EO107343,1996-03-26,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107575
EO107360,1996-03-29,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107590
EO107378,1996-04-02,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107590
EO107383,1996-04-03,Pen,ST,1,0.5,0.5,EUR,E107601
EO107400,1996-04-04,Pen,ST,1,0.5,0.5,EUR,E107590
EO107408,1996-04-06,Pencil,ST,5,0.2,1.0,EUR,E107575
EO107411,1996-04-09,Notepad,ST,3,0.9,2.7,EUR,E107579
EO107426,1996-04-14,Notepad,ST,3,0.9,2.7,EUR,E107575
EO107437,1996-04-16,Paper clips (package),ST,3,4.3,12.89,EUR,E107550
EO107457,1996-04-17,Pencil,ST,3,0.2,0.6,EUR,E107567
EO107467,1996-04-23,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107609
EO107483,1996-04-24,Printer paper,ST,1,1.9,1.9,EUR,E107559
EO107493,1996-04-25,Pen,ST,1,0.5,0.5,EUR,E107609
EO107511,1996-04-27,Pen,ST,1,0.5,0.5,EUR,E107575
EO107516,1996-04-30,Notepad,ST,2,0.9,1.8,EUR,E107615
EO107520,1996-05-01,Printer paper,ST,1,1.9,1.9,EUR,E107615
EO107529,1996-05-07,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107583
EO107532,1996-05-09,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107615
EO107539,1996-05-11,Pen,ST,1,0.5,0.5,EUR,E107559
EO107546,1996-05-13,Paper clips (package),ST,4,4.3,17.2,EUR,E107583
EO107562,1996-05-14,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107590
EO107573,1996-05-14,Notepad,ST,3,0.9,2.7,EUR,E107598
EO107583,1996-05-16,Notepad,ST,2,0.9,1.8,EUR,E107615
EO107597,1996-05-29,Pen,ST,1,0.5,0.5,EUR,E107567
EO107599,1996-05-30,Notepad,ST,3,0.9,2.7,EUR,E107601
EO107600,1996-05-31,Notepad,ST,3,0.9,2.7,EUR,E107579
EO107602,1996-05-31,Printer paper,ST,1,1.9,1.9,EUR,E107601
EO107619,1996-06-06,Notepad,ST,4,0.9,3.6,EUR,E107598
EO107624,1996-06-08,Pen,ST,1,0.5,0.5,EUR,E107615
EO107631,1996-06-11,Paper clips (package),ST,5,4.3,21.5,EUR,E107579
EO107648,1996-06-17,Notepad,ST,2,0.9,1.8,EUR,E107609
EO107656,1996-06-23,Paper clips (package),ST,3,4.3,12.89,EUR,E107567
EO107662,1996-06-23,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107609
EO107672,1996-06-23,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107623
EO107675,1996-06-25,Pen,ST,1,0.5,0.5,EUR,E107601
EO107692,1996-06-27,Pencil,ST,3,0.2,0.6,EUR,E107567
EO107695,1996-06-27,Paper clips (package),ST,5,4.3,21.5,EUR,E107598
EO107696,1996-06-28,Pencil,ST,3,0.2,0.6,EUR,E107579
EO107713,1996-07-02,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107579
EO107732,1996-07-05,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107579
EO107751,1996-07-05,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107609
EO107761,1996-07-06,Printer paper,ST,1,1.9,1.9,EUR,E107598
EO107770,1996-07-11,Printer paper,ST,1,1.9,1.9,EUR,E107559
EO107790,1996-07-11,Pencil,ST,4,0.2,0.8,EUR,E107596
EO107807,1996-07-12,Pencil,ST,4,0.2,0.8,EUR,E107590
EO107819,1996-07-19,Pencil,ST,4,0.2,0.8,EUR,E107559
EO107832,1996-07-19,Pencil,ST,5,0.2,1.0,EUR,E107601
EO107852,1996-07-21,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107592
EO107871,1996-07-23,Pencil,ST,5,0.2,1.0,EUR,E107609
EO107885,1996-07-23,Pen,ST,1,0.5,0.5,EUR,E107615
EO107904,1996-07-25,Notepad,ST,4,0.9,3.6,EUR,E107579
EO107918,1996-07-25,Paper clips (package),ST,4,4.3,17.2,EUR,E107598
EO107929,1996-07-27,Notepad,ST,3,0.9,2.7,EUR,E107567
EO107933,1996-07-29,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107567
EO107945,1996-07-29,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107636
EO107949,1996-08-01,Paper clips (package),ST,3,4.3,12.89,EUR,E107550
EO107961,1996-08-07,Pencil,ST,5,0.2,1.0,EUR,E107609
EO107976,1996-08-10,Printer paper,ST,1,1.9,1.9,EUR,E107609
EO107992,1996-08-11,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107598
EO108006,1996-08-14,Pen,ST,1,0.5,0.5,EUR,E107632
EO108008,1996-08-14,Notepad,ST,2,0.9,1.8,EUR,E107636
EO108016,1996-08-17,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107559
EO108034,1996-08-24,Paper clips (package),ST,3,4.3,12.89,EUR,E107575
EO108048,1996-08-30,Notepad,ST,3,0.9,2.7,EUR,E107623
EO108049,1996-09-01,Notepad,ST,2,0.9,1.8,EUR,E107567
EO108069,1996-09-02,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107632
EO108080,1996-09-03,Notepad,ST,2,0.9,1.8,EUR,E107575
EO108088,1996-09-05,Printer paper,ST,1,1.9,1.9,EUR,E107559
EO108094,1996-09-05,Notepad,ST,4,0.9,3.6,EUR,E107592
EO108113,1996-09-06,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107609
EO108119,1996-09-09,Notepad,ST,4,0.9,3.6,EUR,E107596
EO108123,1996-09-11,Pencil,ST,3,0.2,0.6,EUR,E107623
EO108139,1996-09-12,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107567
EO108153,1996-09-13,Printer paper,ST,1,1.9,1.9,EUR,E107596
EO108172,1996-09-16,Paper clips (package),ST,4,4.3,17.2,EUR,E107543
EO108177,1996-09-17,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107592
EO108179,1996-09-19,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107590
EO108180,1996-09-22,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107636
EO108183,1996-09-25,Pencil,ST,3,0.2,0.6,EUR,E107615
EO108193,1996-09-25,Printer paper,ST,1,1.9,1.9,EUR,E107623
EO108202,1996-09-26,Pen,ST,1,0.5,0.5,EUR,E107559
EO108210,1996-09-29,Pencil,ST,4,0.2,0.8,EUR,E107543
EO108226,1996-09-30,Pen,ST,1,0.5,0.5,EUR,E107598
EO108232,1996-10-04,Paper clips (package),ST,4,4.3,17.2,EUR,E107579
EO108248,1996-10-06,Notepad,ST,3,0.9,2.7,EUR,E107615
EO108263,1996-10-11,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107601
EO108263,1996-10-12,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107636
EO108277,1996-10-14,Printer paper,ST,1,1.9,1.9,EUR,E107623
EO108280,1996-10-14,Pencil,ST,3,0.2,0.6,EUR,E107632
EO108296,1996-10-17,Notepad,ST,3,0.9,2.7,EUR,E107609
EO108307,1996-10-18,Notepad,ST,3,0.9,2.7,EUR,E107609
EO108322,1996-10-18,Pencil,ST,3,0.2,0.6,EUR,E107623
EO108324,1996-10-26,Paper clips (package),ST,4,4.3,17.2,EUR,E107567
EO108331,1996-10-27,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107575
EO108344,1996-10-27,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107615
EO108344,1996-10-30,Paper clips (package),ST,4,4.3,17.2,EUR,E107598
EO108351,1996-10-31,Notepad,ST,3,0.9,2.7,EUR,E107598
EO108366,1996-11-01,Pencil,ST,4,0.2,0.8,EUR,E107550
EO108383,1996-11-01,Notepad,ST,3,0.9,2.7,EUR,E107590
EO108400,1996-11-04,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107615
EO108408,1996-11-06,Notepad,ST,3,0.9,2.7,EUR,E107636
EO108409,1996-11-14,Notepad,ST,2,0.9,1.8,EUR,E107615
EO108425,1996-11-18,Pencil,ST,5,0.2,1.0,EUR,E107575
EO108425,1996-11-19,Pencil,ST,4,0.2,0.8,EUR,E107636
EO108443,1996-11-20,Pencil,ST,4,0.2,0.8,EUR,E107592
EO108443,1996-11-20,Paper clips (package),ST,5,4.3,21.5,EUR,E107615
EO108454,1996-11-24,Pencil,ST,3,0.2,0.6,EUR,E107590
EO108471,1996-11-25,Paper clips (package),ST,4,4.3,17.2,EUR,E107596
EO108478,1996-11-28,Pencil,ST,4,0.2,0.8,EUR,E107543
EO108488,1996-12-01,Pencil,ST,4,0.2,0.8,EUR,E107596
EO108490,1996-12-05,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107609
EO108500,1996-12-05,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107632
EO108503,1996-12-05,Notepad,ST,3,0.9,2.7,EUR,E107636
EO108509,1996-12-08,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107575
EO108516,1996-12-10,Paper clips (package),ST,5,4.3,21.5,EUR,E107639
EO108522,1996-12-11,Notepad,ST,3,0.9,2.7,EUR,E107609
EO108527,1996-12-14,Pencil,ST,4,0.2,0.8,EUR,E107609
EO108530,1996-12-15,Printer paper,ST,1,1.9,1.9,EUR,E107632
EO108545,1996-12-16,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107543
EO108560,1996-12-16,Pen,ST,1,0.5,0.5,EUR,E107579
EO108573,1996-12-18,Paper clips (package),ST,4,4.3,17.2,EUR,E107567
EO108581,1996-12-21,Printer paper,ST,1,1.9,1.9,EUR,E107590
EO108582,1996-12-23,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107609
EO108599,1996-12-25,Notepad,ST,3,0.9,2.7,EUR,E107579
EO108604,1996-12-26,Notepad,ST,3,0.9,2.7,EUR,E107636
EO108611,1996-12-28,Notepad,ST,3,0.9,2.7,EUR,E107596
EO108627,1996-12-31,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107598
EO108634,1997-01-01,Pencil,ST,5,0.2,1.0,EUR,E107601
EO108647,1997-01-02,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107575
EO108667,1997-01-07,Printer paper,ST,1,1.9,1.9,EUR,E107592
EO108670,1997-01-12,Paper clips (package),ST,4,4.3,17.2,EUR,E107637
EO108690,1997-01-13,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107583
EO108697,1997-01-14,Pencil,ST,4,0.2,0.8,EUR,E107615
EO108698,1997-01-16,Printer paper,ST,1,1.9,1.9,EUR,E107550
EO108710,1997-01-18,Paper clips (package),ST,4,4.3,17.2,EUR,E107575
EO108728,1997-01-18,Notepad,ST,3,0.9,2.7,EUR,E107623
EO108735,1997-01-23,Pen,ST,1,0.5,0.5,EUR,E107601
EO108753,1997-01-23,Notepad,ST,3,0.9,2.7,EUR,E107636
EO108764,1997-02-04,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107609
EO108774,1997-02-05,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107601
EO108788,1997-02-07,Notepad,ST,3,0.9,2.7,EUR,E107641
EO108799,1997-02-12,Notepad,ST,2,0.9,1.8,EUR,E107567
EO108817,1997-02-14,Notepad,ST,3,0.9,2.7,EUR,E107543
EO108830,1997-02-14,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107615
EO108847,1997-02-16,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107579
EO108859,1997-02-16,Pencil,ST,3,0.2,0.6,EUR,E107590
EO108869,1997-02-16,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107596
EO108875,1997-02-18,Printer paper,ST,1,1.9,1.9,EUR,E107543
EO108877,1997-02-19,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107632
EO108880,1997-02-21,Paper clips (package),ST,4,4.3,17.2,EUR,E107550
EO108900,1997-02-24,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107639
EO108913,1997-02-25,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107583
EO108931,1997-02-25,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107601
EO108936,1997-02-27,Printer paper,ST,1,1.9,1.9,EUR,E107623
EO108954,1997-03-01,Notepad,ST,3,0.9,2.7,EUR,E107632
EO108964,1997-03-04,Paper clips (package),ST,5,4.3,21.5,EUR,E107579
EO108977,1997-03-05,Paper clips (package),ST,4,4.3,17.2,EUR,E107609
EO108994,1997-03-05,Notepad,ST,3,0.9,2.7,EUR,E107632
EO108997,1997-03-05,Notepad,ST,3,0.9,2.7,EUR,E107637
EO109017,1997-03-06,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107615
EO109025,1997-03-14,Pencil,ST,3,0.2,0.6,EUR,E107615
EO109045,1997-03-14,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107623
EO109058,1997-03-15,Pencil,ST,4,0.2,0.8,EUR,E107623
EO109062,1997-03-17,Notepad,ST,3,0.9,2.7,EUR,E107575
EO109079,1997-03-18,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107598
EO109090,1997-03-19,Notepad,ST,2,0.9,1.8,EUR,E107623
EO109098,1997-03-20,Notepad,ST,3,0.9,2.7,EUR,E107596
EO109105,1997-03-21,Paper clips (package),ST,3,4.3,12.89,EUR,E107567
EO109110,1997-03-22,Printer paper,ST,1,1.9,1.9,EUR,E107579
EO109124,1997-03-24,Pencil,ST,3,0.2,0.6,EUR,E107567
EO109130,1997-03-24,Pen,ST,1,0.5,0.5,EUR,E107636
EO109145,1997-03-27,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107559
EO109160,1997-03-30,Pen,ST,1,0.5,0.5,EUR,E107590
EO109175,1997-03-31,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107550
EO109188,1997-03-31,Pen,ST,1,0.5,0.5,EUR,E107592
EO109196,1997-03-31,Notepad,ST,3,0.9,2.7,EUR,E107615
EO109196,1997-04-03,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107550
EO109214,1997-04-07,Notepad,ST,2,0.9,1.8,EUR,E107615
EO109229,1997-04-08,Notepad,ST,3,0.9,2.7,EUR,E107639
EO109236,1997-04-10,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107598
EO109247,1997-04-12,Paper clips (package),ST,5,4.3,21.5,EUR,E107579
EO109247,1997-04-12,Paper clips (package),ST,4,4.3,17.2,EUR,E107583
EO109266,1997-04-12,Paper clips (package),ST,4,4.3,17.2,EUR,E107590
EO109277,1997-04-15,Pencil,ST,4,0.2,0.8,EUR,E107579
EO109280,1997-04-16,Notepad,ST,4,0.9,3.6,EUR,E107601
EO109300,1997-04-16,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107652
EO109315,1997-04-21,Paper clips (package),ST,5,4.3,21.5,EUR,E107639
EO109325,1997-04-24,Pencil,ST,5,0.2,1.0,EUR,E107575
EO109328,1997-04-25,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107623
EO109339,1997-04-27,Pencil,ST,5,0.2,1.0,EUR,E107609
EO109359,1997-04-28,Paper clips (package),ST,4,4.3,17.2,EUR,E107639
EO109376,1997-04-30,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107652
EO109380,1997-05-05,Paper clips (package),ST,3,4.3,12.89,EUR,E107567
EO109382,1997-05-05,Notepad,ST,3,0.9,2.7,EUR,E107615
EO109396,1997-05-06,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107641
EO109402,1997-05-07,Printer paper,ST,1,1.9,1.9,EUR,E107550
EO109407,1997-05-08,Notepad,ST,4,0.9,3.6,EUR,E107643
EO109419,1997-05-10,Printer paper,ST,1,1.9,1.9,EUR,E107550
EO109431,1997-05-12,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107615
EO109447,1997-05-12,Notepad,ST,3,0.9,2.7,EUR,E107623
EO109461,1997-05-14,Paper clips (package),ST,3,4.3,12.89,EUR,E107643
EO109481,1997-05-15,Pen,ST,1,0.5,0.5,EUR,E107615
EO109493,1997-05-15,Pen,ST,1,0.5,0.5,EUR,E107641
EO109500,1997-05-16,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107592
EO109520,1997-05-17,Paper clips (package),ST,3,4.3,12.89,EUR,E107596
EO109526,1997-05-19,Pen,ST,1,0.5,0.5,EUR,E107596
EO109537,1997-05-19,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107641
EO109553,1997-05-22,Paper clips (package),ST,4,4.3,17.2,EUR,E107583
EO109572,1997-05-26,Paper clips (package),ST,4,4.3,17.2,EUR,E107637
EO109588,1997-05-26,Pencil,ST,3,0.2,0.6,EUR,E107641
EO109596,1997-05-28,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107637
EO109599,1997-06-07,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107575
EO109616,1997-06-07,Notepad,ST,3,0.9,2.7,EUR,E107601
EO109636,1997-06-09,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107543
EO109639,1997-06-12,Pencil,ST,4,0.2,0.8,EUR,E107598
EO109657,1997-06-15,Printer paper,ST,1,1.9,1.9,EUR,E107567
EO109675,1997-06-16,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107567
EO109695,1997-06-16,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107590
EO109705,1997-06-17,Paper clips (package),ST,4,4.3,17.2,EUR,E107623
EO109724,1997-06-26,Notepad,ST,2,0.9,1.8,EUR,E107623
EO109730,1997-06-27,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107592
EO109734,1997-06-28,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107543
EO109745,1997-06-30,Printer paper,ST,1,1.9,1.9,EUR,E107590
EO109753,1997-06-30,Printer paper,ST,1,1.9,1.9,EUR,E107596
EO109770,1997-07-02,Notepad,ST,4,0.9,3.6,EUR,E107543
EO109779,1997-07-02,Printer paper,ST,1,1.9,1.9,EUR,E107583
EO109783,1997-07-02,Pen,ST,1,0.5,0.5,EUR,E107601
EO109794,1997-07-02,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107639
EO109806,1997-07-03,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107579
EO109820,1997-07-07,Printer cartridge (black),ST,1,7.5,7.5,EUR,E107575
EO109827,1997-07-07,Pencil,ST,4,0.2,0.8,EUR,E107653
EO109847,1997-07-10,Paper clips (package),ST,5,4.3,21.5,EUR,E107579
EO109861,1997-07-10,Notepad,ST,2,0.9,1.8,EUR,E107637
EO109866,1997-07-11,Printer cartridge (color),ST,1,9.9,9.9,EUR,E107639
EO109876,1997-07-12,Paper clips (package),ST,4,4.3,17.2,EUR,E107636
EO109877,1997-07-14,Notepad,ST,3,0.9,2.7,EUR,E107543
EO109890,1997-07-14,Printer cartridge (black),ST,2,7.5,15.0,EUR,E107567
EO109904,1997-07-19,Pencil,ST,4,0.2,0.8,EUR,E107550
