FinanceProcessId,BranchId,Date,ProcessType,Costs,Currency
FP100062,B100009,2000-01-02,Electrician,310.78,EUR
FP100063,B100007,2000-01-04,Electrician,229.16,EUR
FP100064,B100013,2000-01-14,Vehicle repair,1331.54,EUR
FP100065,B100014,2000-01-14,Window replacement,569.81,EUR
FP100066,B100011,2000-01-16,Plumbing service,692.79,EUR
FP100067,B100014,2000-01-17,Construction work,3579.59,EUR
FP100068,B100002,2000-01-22,Ventilation repair,517.43,EUR
FP100069,B100011,2000-01-23,Smoke detector control,458.85,EUR
FP100070,B100012,2000-01-27,Window replacement,411.23,EUR
FP100071,B100001,2000-02-01,Electricity prepayment,1184.18,EUR
FP100072,B100001,2000-02-01,Water bill,452.48,EUR
FP100073,B100001,2000-02-01,Heating costs,443.55,EUR
FP100074,B100002,2000-02-01,Electricity prepayment,1387.63,EUR
FP100075,B100002,2000-02-01,Water bill,310.39,EUR
FP100076,B100002,2000-02-01,Heating costs,389.98,EUR
FP100077,B100003,2000-02-01,Electricity prepayment,1117.42,EUR
FP100078,B100003,2000-02-01,Water bill,486.55,EUR
FP100079,B100003,2000-02-01,Heating costs,459.25,EUR
FP100080,B100004,2000-02-01,Electricity prepayment,1457.93,EUR
FP100081,B100004,2000-02-01,Water bill,493.54,EUR
FP100082,B100004,2000-02-01,Heating costs,427.75,EUR
FP100083,B100005,2000-02-01,Electricity prepayment,1264.68,EUR
FP100084,B100005,2000-02-01,Water bill,435.89,EUR
FP100085,B100005,2000-02-01,Heating costs,315.32,EUR
FP100086,B100006,2000-02-01,Electricity prepayment,1098.81,EUR
FP100087,B100006,2000-02-01,Water bill,476.89,EUR
FP100088,B100006,2000-02-01,Heating costs,328.62,EUR
FP100089,B100007,2000-02-01,Electricity prepayment,1300.78,EUR
FP100090,B100007,2000-02-01,Water bill,422.1,EUR
FP100091,B100007,2000-02-01,Heating costs,507.8,EUR
FP100092,B100008,2000-02-01,Electricity prepayment,1526.75,EUR
FP100093,B100008,2000-02-01,Water bill,410.35,EUR
FP100094,B100008,2000-02-01,Heating costs,336.52,EUR
FP100095,B100009,2000-02-01,Electricity prepayment,1499.56,EUR
FP100096,B100009,2000-02-01,Water bill,392.19,EUR
FP100097,B100009,2000-02-01,Heating costs,467.57,EUR
FP100098,B100010,2000-02-01,Electricity prepayment,1143.0,EUR
FP100099,B100010,2000-02-01,Water bill,465.37,EUR
FP100100,B100010,2000-02-01,Heating costs,507.74,EUR
FP100101,B100011,2000-02-01,Electricity prepayment,1514.5,EUR
FP100102,B100011,2000-02-01,Water bill,328.15,EUR
FP100103,B100011,2000-02-01,Heating costs,355.7,EUR
FP100104,B100012,2000-02-01,Electricity prepayment,1612.16,EUR
FP100105,B100012,2000-02-01,Water bill,385.66,EUR
FP100106,B100012,2000-02-01,Heating costs,329.08,EUR
FP100107,B100013,2000-02-01,Electricity prepayment,1194.51,EUR
FP100108,B100013,2000-02-01,Water bill,350.32,EUR
FP100109,B100013,2000-02-01,Heating costs,321.66,EUR
FP100110,B100014,2000-02-01,Electricity prepayment,1103.67,EUR
FP100111,B100014,2000-02-01,Water bill,438.98,EUR
FP100112,B100014,2000-02-01,Heating costs,500.45,EUR
FP100113,B100015,2000-02-01,Electricity prepayment,1449.52,EUR
FP100114,B100015,2000-02-01,Water bill,488.86,EUR
FP100115,B100015,2000-02-01,Heating costs,485.97,EUR
FP100116,B100002,2000-02-01,Minor repairs,46.1,EUR
FP100117,B100005,2000-02-03,Minor repairs,31.13,EUR
FP100118,B100007,2000-02-05,Construction work,3059.79,EUR
FP100119,B100014,2000-02-05,Vehicle repair,1431.19,EUR
FP100120,B100001,2000-02-06,Heating engineer,437.43,EUR
FP100121,B100012,2000-02-12,Plumbing service,1719.27,EUR
FP100122,B100002,2000-02-13,Smoke detector control,358.75,EUR
FP100123,B100012,2000-02-15,Heating engineer,413.92,EUR
FP100124,B100005,2000-02-19,Heating engineer,425.03,EUR
FP100125,B100002,2000-02-21,Ventilation repair,1414.56,EUR
FP100126,B100009,2000-02-26,Smoke detector control,376.67,EUR
FP100127,B100004,2000-02-28,Heating engineer,435.71,EUR
FP100128,B100001,2000-03-01,Electricity prepayment,1405.65,EUR
FP100129,B100001,2000-03-01,Water bill,386.55,EUR
FP100130,B100001,2000-03-01,Heating costs,506.56,EUR
FP100131,B100002,2000-03-01,Electricity prepayment,1216.87,EUR
FP100132,B100002,2000-03-01,Water bill,506.27,EUR
FP100133,B100002,2000-03-01,Heating costs,312.53,EUR
FP100134,B100003,2000-03-01,Electricity prepayment,1478.89,EUR
FP100135,B100003,2000-03-01,Water bill,313.63,EUR
FP100136,B100003,2000-03-01,Heating costs,433.93,EUR
FP100137,B100004,2000-03-01,Electricity prepayment,1286.58,EUR
FP100138,B100004,2000-03-01,Water bill,383.32,EUR
FP100139,B100004,2000-03-01,Heating costs,501.61,EUR
FP100140,B100005,2000-03-01,Electricity prepayment,1086.91,EUR
FP100141,B100005,2000-03-01,Water bill,320.25,EUR
FP100142,B100005,2000-03-01,Heating costs,350.77,EUR
FP100143,B100006,2000-03-01,Electricity prepayment,1116.79,EUR
FP100144,B100006,2000-03-01,Water bill,508.25,EUR
FP100145,B100006,2000-03-01,Heating costs,401.44,EUR
FP100146,B100007,2000-03-01,Electricity prepayment,1150.59,EUR
FP100147,B100007,2000-03-01,Water bill,451.43,EUR
FP100148,B100007,2000-03-01,Heating costs,411.07,EUR
FP100149,B100008,2000-03-01,Electricity prepayment,1356.1,EUR
FP100150,B100008,2000-03-01,Water bill,430.3,EUR
FP100151,B100008,2000-03-01,Heating costs,362.84,EUR
FP100152,B100009,2000-03-01,Electricity prepayment,1482.44,EUR
FP100153,B100009,2000-03-01,Water bill,421.48,EUR
FP100154,B100009,2000-03-01,Heating costs,487.93,EUR
FP100155,B100010,2000-03-01,Electricity prepayment,1435.25,EUR
FP100156,B100010,2000-03-01,Water bill,497.34,EUR
FP100157,B100010,2000-03-01,Heating costs,421.27,EUR
FP100158,B100011,2000-03-01,Electricity prepayment,1166.96,EUR
FP100159,B100011,2000-03-01,Water bill,505.47,EUR
FP100160,B100011,2000-03-01,Heating costs,417.98,EUR
FP100161,B100012,2000-03-01,Electricity prepayment,1639.63,EUR
FP100162,B100012,2000-03-01,Water bill,485.68,EUR
FP100163,B100012,2000-03-01,Heating costs,316.73,EUR
FP100164,B100013,2000-03-01,Electricity prepayment,1358.19,EUR
FP100165,B100013,2000-03-01,Water bill,356.83,EUR
FP100166,B100013,2000-03-01,Heating costs,428.26,EUR
FP100167,B100014,2000-03-01,Electricity prepayment,1375.91,EUR
FP100168,B100014,2000-03-01,Water bill,371.81,EUR
FP100169,B100014,2000-03-01,Heating costs,471.2,EUR
FP100170,B100015,2000-03-01,Electricity prepayment,1309.46,EUR
FP100171,B100015,2000-03-01,Water bill,345.91,EUR
FP100172,B100015,2000-03-01,Heating costs,330.7,EUR
FP100173,B100007,2000-03-04,Electrician,391.12,EUR
FP100174,B100008,2000-03-06,Smoke detector control,405.69,EUR
FP100175,B100008,2000-03-09,Ventilation repair,567.7,EUR
FP100176,B100003,2000-03-11,Window replacement,770.77,EUR
FP100177,B100010,2000-03-14,Smoke detector control,357.42,EUR
FP100178,B100010,2000-03-16,Technical support,180.38,EUR
FP100179,B100010,2000-03-17,Electrician,335.72,EUR
FP100180,B100002,2000-03-19,Plumbing service,2039.31,EUR
FP100181,B100003,2000-03-24,Technical support,212.76,EUR
FP100182,B100013,2000-03-27,Heating engineer,434.74,EUR
FP100183,B100004,2000-03-28,Vehicle repair,2153.19,EUR
FP100184,B100006,2000-03-30,Vehicle repair,1808.28,EUR
FP100185,B100011,2000-03-30,Minor repairs,85.74,EUR
FP100186,B100001,2000-04-01,Electricity prepayment,1058.73,EUR
FP100187,B100001,2000-04-01,Water bill,325.22,EUR
FP100188,B100001,2000-04-01,Heating costs,104.71,EUR
FP100189,B100002,2000-04-01,Electricity prepayment,1596.88,EUR
FP100190,B100002,2000-04-01,Water bill,324.92,EUR
FP100191,B100002,2000-04-01,Heating costs,108.64,EUR
FP100192,B100003,2000-04-01,Electricity prepayment,1040.52,EUR
FP100193,B100003,2000-04-01,Water bill,375.13,EUR
FP100194,B100003,2000-04-01,Heating costs,97.22,EUR
FP100195,B100004,2000-04-01,Electricity prepayment,1028.35,EUR
FP100196,B100004,2000-04-01,Water bill,469.59,EUR
FP100197,B100004,2000-04-01,Heating costs,108.86,EUR
FP100198,B100005,2000-04-01,Electricity prepayment,1239.65,EUR
FP100199,B100005,2000-04-01,Water bill,329.41,EUR
FP100200,B100005,2000-04-01,Heating costs,83.58,EUR
FP100201,B100006,2000-04-01,Electricity prepayment,1559.58,EUR
FP100202,B100006,2000-04-01,Water bill,355.08,EUR
FP100203,B100006,2000-04-01,Heating costs,113.76,EUR
FP100204,B100007,2000-04-01,Electricity prepayment,1464.98,EUR
FP100205,B100007,2000-04-01,Water bill,449.05,EUR
FP100206,B100007,2000-04-01,Heating costs,119.35,EUR
FP100207,B100008,2000-04-01,Electricity prepayment,1541.8,EUR
FP100208,B100008,2000-04-01,Water bill,431.36,EUR
FP100209,B100008,2000-04-01,Heating costs,85.47,EUR
FP100210,B100009,2000-04-01,Electricity prepayment,1108.68,EUR
FP100211,B100009,2000-04-01,Water bill,354.22,EUR
FP100212,B100009,2000-04-01,Heating costs,79.38,EUR
FP100213,B100010,2000-04-01,Electricity prepayment,1108.02,EUR
FP100214,B100010,2000-04-01,Water bill,458.31,EUR
FP100215,B100010,2000-04-01,Heating costs,121.02,EUR
FP100216,B100011,2000-04-01,Electricity prepayment,1572.27,EUR
FP100217,B100011,2000-04-01,Water bill,482.03,EUR
FP100218,B100011,2000-04-01,Heating costs,115.93,EUR
FP100219,B100012,2000-04-01,Electricity prepayment,1566.18,EUR
FP100220,B100012,2000-04-01,Water bill,453.48,EUR
FP100221,B100012,2000-04-01,Heating costs,107.11,EUR
FP100222,B100013,2000-04-01,Electricity prepayment,1627.06,EUR
FP100223,B100013,2000-04-01,Water bill,495.02,EUR
FP100224,B100013,2000-04-01,Heating costs,112.64,EUR
FP100225,B100014,2000-04-01,Electricity prepayment,1159.6,EUR
FP100226,B100014,2000-04-01,Water bill,389.55,EUR
FP100227,B100014,2000-04-01,Heating costs,99.06,EUR
FP100228,B100015,2000-04-01,Electricity prepayment,1376.02,EUR
FP100229,B100015,2000-04-01,Water bill,308.47,EUR
FP100230,B100015,2000-04-01,Heating costs,98.82,EUR
FP100231,B100003,2000-04-04,Construction work,3359.52,EUR
FP100232,B100003,2000-04-05,Plumbing service,2643.6,EUR
FP100233,B100013,2000-04-10,Ventilation repair,1022.1,EUR
FP100234,B100003,2000-04-15,Technical support,174.53,EUR
FP100235,B100002,2000-04-18,Technical support,220.97,EUR
FP100236,B100009,2000-04-20,Electrician,298.81,EUR
FP100237,B100006,2000-04-29,Ventilation repair,935.37,EUR
FP100238,B100001,2000-05-01,Electricity prepayment,1306.08,EUR
FP100239,B100001,2000-05-01,Water bill,453.18,EUR
FP100240,B100001,2000-05-01,Heating costs,118.29,EUR
FP100241,B100002,2000-05-01,Electricity prepayment,1401.76,EUR
FP100242,B100002,2000-05-01,Water bill,468.01,EUR
FP100243,B100002,2000-05-01,Heating costs,92.01,EUR
FP100244,B100003,2000-05-01,Electricity prepayment,1078.36,EUR
FP100245,B100003,2000-05-01,Water bill,412.63,EUR
FP100246,B100003,2000-05-01,Heating costs,110.67,EUR
FP100247,B100004,2000-05-01,Electricity prepayment,1574.12,EUR
FP100248,B100004,2000-05-01,Water bill,350.17,EUR
FP100249,B100004,2000-05-01,Heating costs,122.1,EUR
FP100250,B100005,2000-05-01,Electricity prepayment,1637.19,EUR
FP100251,B100005,2000-05-01,Water bill,406.15,EUR
FP100252,B100005,2000-05-01,Heating costs,115.28,EUR
FP100253,B100006,2000-05-01,Electricity prepayment,1417.33,EUR
FP100254,B100006,2000-05-01,Water bill,497.08,EUR
FP100255,B100006,2000-05-01,Heating costs,90.39,EUR
FP100256,B100007,2000-05-01,Electricity prepayment,1617.16,EUR
FP100257,B100007,2000-05-01,Water bill,364.0,EUR
FP100258,B100007,2000-05-01,Heating costs,95.39,EUR
FP100259,B100008,2000-05-01,Electricity prepayment,1475.7,EUR
FP100260,B100008,2000-05-01,Water bill,452.68,EUR
FP100261,B100008,2000-05-01,Heating costs,92.38,EUR
FP100262,B100009,2000-05-01,Electricity prepayment,1417.85,EUR
FP100263,B100009,2000-05-01,Water bill,442.22,EUR
FP100264,B100009,2000-05-01,Heating costs,87.34,EUR
FP100265,B100010,2000-05-01,Electricity prepayment,1360.05,EUR
FP100266,B100010,2000-05-01,Water bill,316.05,EUR
FP100267,B100010,2000-05-01,Heating costs,102.36,EUR
FP100268,B100011,2000-05-01,Electricity prepayment,1100.87,EUR
FP100269,B100011,2000-05-01,Water bill,487.56,EUR
FP100270,B100011,2000-05-01,Heating costs,96.57,EUR
FP100271,B100012,2000-05-01,Electricity prepayment,1395.18,EUR
FP100272,B100012,2000-05-01,Water bill,418.12,EUR
FP100273,B100012,2000-05-01,Heating costs,89.43,EUR
FP100274,B100013,2000-05-01,Electricity prepayment,1331.61,EUR
FP100275,B100013,2000-05-01,Water bill,382.0,EUR
FP100276,B100013,2000-05-01,Heating costs,102.81,EUR
FP100277,B100014,2000-05-01,Electricity prepayment,1457.69,EUR
FP100278,B100014,2000-05-01,Water bill,449.17,EUR
FP100279,B100014,2000-05-01,Heating costs,84.88,EUR
FP100280,B100015,2000-05-01,Electricity prepayment,1021.1,EUR
FP100281,B100015,2000-05-01,Water bill,421.06,EUR
FP100282,B100015,2000-05-01,Heating costs,119.14,EUR
FP100283,B100012,2000-05-04,Minor repairs,79.3,EUR
FP100284,B100001,2000-05-05,Minor repairs,65.41,EUR
FP100285,B100015,2000-05-15,Minor repairs,30.42,EUR
FP100286,B100001,2000-05-17,Window replacement,604.73,EUR
FP100287,B100009,2000-05-19,Electrician,340.9,EUR
FP100288,B100009,2000-05-24,Ventilation repair,534.76,EUR
FP100289,B100005,2000-05-27,Plumbing service,1135.65,EUR
FP100290,B100005,2000-05-30,Vehicle repair,2194.5,EUR
FP100291,B100001,2000-06-01,Electricity prepayment,1279.88,EUR
FP100292,B100001,2000-06-01,Water bill,484.25,EUR
FP100293,B100001,2000-06-01,Heating costs,88.34,EUR
FP100294,B100002,2000-06-01,Electricity prepayment,1311.84,EUR
FP100295,B100002,2000-06-01,Water bill,454.22,EUR
FP100296,B100002,2000-06-01,Heating costs,110.52,EUR
FP100297,B100003,2000-06-01,Electricity prepayment,1580.59,EUR
FP100298,B100003,2000-06-01,Water bill,483.08,EUR
FP100299,B100003,2000-06-01,Heating costs,101.27,EUR
FP100300,B100004,2000-06-01,Electricity prepayment,1062.07,EUR
FP100301,B100004,2000-06-01,Water bill,413.96,EUR
FP100302,B100004,2000-06-01,Heating costs,87.33,EUR
FP100303,B100005,2000-06-01,Electricity prepayment,1321.92,EUR
FP100304,B100005,2000-06-01,Water bill,454.82,EUR
FP100305,B100005,2000-06-01,Heating costs,87.61,EUR
FP100306,B100006,2000-06-01,Electricity prepayment,1460.44,EUR
FP100307,B100006,2000-06-01,Water bill,367.38,EUR
FP100308,B100006,2000-06-01,Heating costs,94.67,EUR
FP100309,B100007,2000-06-01,Electricity prepayment,1058.61,EUR
FP100310,B100007,2000-06-01,Water bill,437.66,EUR
FP100311,B100007,2000-06-01,Heating costs,95.18,EUR
FP100312,B100008,2000-06-01,Electricity prepayment,1248.9,EUR
FP100313,B100008,2000-06-01,Water bill,391.55,EUR
FP100314,B100008,2000-06-01,Heating costs,99.48,EUR
FP100315,B100009,2000-06-01,Electricity prepayment,1498.02,EUR
FP100316,B100009,2000-06-01,Water bill,339.25,EUR
FP100317,B100009,2000-06-01,Heating costs,81.28,EUR
FP100318,B100010,2000-06-01,Electricity prepayment,1241.37,EUR
FP100319,B100010,2000-06-01,Water bill,452.51,EUR
FP100320,B100010,2000-06-01,Heating costs,76.71,EUR
FP100321,B100011,2000-06-01,Electricity prepayment,1032.9,EUR
FP100322,B100011,2000-06-01,Water bill,418.37,EUR
FP100323,B100011,2000-06-01,Heating costs,116.29,EUR
FP100324,B100012,2000-06-01,Electricity prepayment,1325.29,EUR
FP100325,B100012,2000-06-01,Water bill,496.09,EUR
FP100326,B100012,2000-06-01,Heating costs,112.26,EUR
FP100327,B100013,2000-06-01,Electricity prepayment,1110.81,EUR
FP100328,B100013,2000-06-01,Water bill,494.75,EUR
FP100329,B100013,2000-06-01,Heating costs,90.62,EUR
FP100330,B100014,2000-06-01,Electricity prepayment,1594.56,EUR
FP100331,B100014,2000-06-01,Water bill,446.22,EUR
FP100332,B100014,2000-06-01,Heating costs,89.52,EUR
FP100333,B100015,2000-06-01,Electricity prepayment,1451.48,EUR
FP100334,B100015,2000-06-01,Water bill,422.19,EUR
FP100335,B100015,2000-06-01,Heating costs,118.6,EUR
FP100336,B100011,2000-06-03,Minor repairs,65.61,EUR
FP100337,B100015,2000-06-04,Technical support,240.85,EUR
FP100338,B100014,2000-06-06,Ventilation repair,828.35,EUR
FP100339,B100014,2000-06-10,Vehicle repair,2216.82,EUR
FP100340,B100012,2000-06-11,Plumbing service,736.18,EUR
FP100341,B100005,2000-06-15,Minor repairs,32.68,EUR
FP100342,B100005,2000-06-16,Electrician,349.01,EUR
FP100343,B100010,2000-06-16,Technical support,215.67,EUR
FP100344,B100013,2000-06-20,Window replacement,454.24,EUR
FP100345,B100010,2000-06-23,Technical support,207.81,EUR
FP100346,B100009,2000-06-28,Plumbing service,1243.61,EUR
FP100347,B100001,2000-07-01,Electricity prepayment,1564.94,EUR
FP100348,B100001,2000-07-01,Water bill,349.24,EUR
FP100349,B100001,2000-07-01,Heating costs,123.89,EUR
FP100350,B100002,2000-07-01,Electricity prepayment,1594.96,EUR
FP100351,B100002,2000-07-01,Water bill,483.31,EUR
FP100352,B100002,2000-07-01,Heating costs,95.83,EUR
FP100353,B100003,2000-07-01,Electricity prepayment,1398.27,EUR
FP100354,B100003,2000-07-01,Water bill,411.84,EUR
FP100355,B100003,2000-07-01,Heating costs,78.24,EUR
FP100356,B100004,2000-07-01,Electricity prepayment,1370.52,EUR
FP100357,B100004,2000-07-01,Water bill,328.35,EUR
FP100358,B100004,2000-07-01,Heating costs,126.69,EUR
FP100359,B100005,2000-07-01,Electricity prepayment,1526.7,EUR
FP100360,B100005,2000-07-01,Water bill,428.6,EUR
FP100361,B100005,2000-07-01,Heating costs,103.38,EUR
FP100362,B100006,2000-07-01,Electricity prepayment,1355.92,EUR
FP100363,B100006,2000-07-01,Water bill,502.95,EUR
FP100364,B100006,2000-07-01,Heating costs,126.22,EUR
FP100365,B100007,2000-07-01,Electricity prepayment,1002.12,EUR
FP100366,B100007,2000-07-01,Water bill,486.16,EUR
FP100367,B100007,2000-07-01,Heating costs,97.3,EUR
FP100368,B100008,2000-07-01,Electricity prepayment,1536.8,EUR
FP100369,B100008,2000-07-01,Water bill,415.41,EUR
FP100370,B100008,2000-07-01,Heating costs,104.44,EUR
FP100371,B100009,2000-07-01,Electricity prepayment,1410.74,EUR
FP100372,B100009,2000-07-01,Water bill,444.96,EUR
FP100373,B100009,2000-07-01,Heating costs,118.81,EUR
FP100374,B100010,2000-07-01,Electricity prepayment,1256.56,EUR
FP100375,B100010,2000-07-01,Water bill,332.21,EUR
FP100376,B100010,2000-07-01,Heating costs,122.72,EUR
FP100377,B100011,2000-07-01,Electricity prepayment,1100.45,EUR
FP100378,B100011,2000-07-01,Water bill,366.64,EUR
FP100379,B100011,2000-07-01,Heating costs,81.34,EUR
FP100380,B100012,2000-07-01,Electricity prepayment,1491.88,EUR
FP100381,B100012,2000-07-01,Water bill,366.39,EUR
FP100382,B100012,2000-07-01,Heating costs,126.29,EUR
FP100383,B100013,2000-07-01,Electricity prepayment,1218.18,EUR
FP100384,B100013,2000-07-01,Water bill,442.49,EUR
FP100385,B100013,2000-07-01,Heating costs,77.13,EUR
FP100386,B100014,2000-07-01,Electricity prepayment,1339.02,EUR
FP100387,B100014,2000-07-01,Water bill,389.61,EUR
FP100388,B100014,2000-07-01,Heating costs,106.21,EUR
FP100389,B100015,2000-07-01,Electricity prepayment,1366.93,EUR
FP100390,B100015,2000-07-01,Water bill,353.74,EUR
FP100391,B100015,2000-07-01,Heating costs,102.06,EUR
FP100392,B100014,2000-07-01,Electrician,214.46,EUR
FP100393,B100015,2000-07-05,Vehicle repair,1470.08,EUR
FP100394,B100002,2000-07-09,Heating engineer,383.57,EUR
FP100395,B100007,2000-07-11,Electrician,392.83,EUR
FP100396,B100014,2000-07-17,Window replacement,575.09,EUR
FP100397,B100005,2000-07-18,Ventilation repair,1476.8,EUR
FP100398,B100008,2000-07-20,Plumbing service,866.85,EUR
FP100399,B100004,2000-07-22,Minor repairs,90.91,EUR
FP100400,B100006,2000-07-23,Minor repairs,50.73,EUR
FP100401,B100010,2000-07-23,Ventilation repair,1477.54,EUR
FP100402,B100012,2000-07-23,Vehicle repair,1977.21,EUR
FP100403,B100014,2000-07-23,Minor repairs,28.2,EUR
FP100404,B100001,2000-07-24,Vehicle repair,1527.71,EUR
FP100405,B100003,2000-07-31,Window replacement,425.2,EUR
FP100406,B100001,2000-08-01,Electricity prepayment,1152.68,EUR
FP100407,B100001,2000-08-01,Water bill,503.33,EUR
FP100408,B100001,2000-08-01,Heating costs,355.78,EUR
FP100409,B100002,2000-08-01,Electricity prepayment,1520.29,EUR
FP100410,B100002,2000-08-01,Water bill,445.08,EUR
FP100411,B100002,2000-08-01,Heating costs,393.05,EUR
FP100412,B100003,2000-08-01,Electricity prepayment,1467.18,EUR
FP100413,B100003,2000-08-01,Water bill,459.58,EUR
FP100414,B100003,2000-08-01,Heating costs,392.73,EUR
FP100415,B100004,2000-08-01,Electricity prepayment,1461.28,EUR
FP100416,B100004,2000-08-01,Water bill,467.58,EUR
FP100417,B100004,2000-08-01,Heating costs,389.78,EUR
FP100418,B100005,2000-08-01,Electricity prepayment,1464.63,EUR
FP100419,B100005,2000-08-01,Water bill,347.09,EUR
FP100420,B100005,2000-08-01,Heating costs,268.37,EUR
FP100421,B100006,2000-08-01,Electricity prepayment,1019.82,EUR
FP100422,B100006,2000-08-01,Water bill,394.14,EUR
FP100423,B100006,2000-08-01,Heating costs,413.69,EUR
FP100424,B100007,2000-08-01,Electricity prepayment,1070.78,EUR
FP100425,B100007,2000-08-01,Water bill,483.72,EUR
FP100426,B100007,2000-08-01,Heating costs,281.33,EUR
FP100427,B100008,2000-08-01,Electricity prepayment,1307.5,EUR
FP100428,B100008,2000-08-01,Water bill,493.5,EUR
FP100429,B100008,2000-08-01,Heating costs,417.75,EUR
FP100430,B100009,2000-08-01,Electricity prepayment,1561.82,EUR
FP100431,B100009,2000-08-01,Water bill,426.24,EUR
FP100432,B100009,2000-08-01,Heating costs,375.4,EUR
FP100433,B100010,2000-08-01,Electricity prepayment,1409.93,EUR
FP100434,B100010,2000-08-01,Water bill,433.56,EUR
FP100435,B100010,2000-08-01,Heating costs,358.56,EUR
FP100436,B100011,2000-08-01,Electricity prepayment,1631.24,EUR
FP100437,B100011,2000-08-01,Water bill,407.83,EUR
FP100438,B100011,2000-08-01,Heating costs,318.71,EUR
FP100439,B100012,2000-08-01,Electricity prepayment,1037.29,EUR
FP100440,B100012,2000-08-01,Water bill,392.43,EUR
FP100441,B100012,2000-08-01,Heating costs,428.77,EUR
FP100442,B100013,2000-08-01,Electricity prepayment,1122.71,EUR
FP100443,B100013,2000-08-01,Water bill,449.99,EUR
FP100444,B100013,2000-08-01,Heating costs,287.06,EUR
FP100445,B100014,2000-08-01,Electricity prepayment,1074.9,EUR
FP100446,B100014,2000-08-01,Water bill,318.62,EUR
FP100447,B100014,2000-08-01,Heating costs,304.17,EUR
FP100448,B100015,2000-08-01,Electricity prepayment,1011.7,EUR
FP100449,B100015,2000-08-01,Water bill,387.67,EUR
FP100450,B100015,2000-08-01,Heating costs,434.08,EUR
